topic,category,last,count
WXSMART/1660101260218/STATUS/Config/IF0/IPAddress,STATUS,"192 , 168 , 1 , 128",1
WXSMART/1660101260218/STATUS/Config/System/DeviceName,STATUS,wxsmart-0218,1
WXSMART/1660101260218/STATUS/Config/System/NetworkIF,STATUS,0,1
WXSMART/1660101260218/STATUS/Config/System/Version/esp32,STATUS,10,1
WXSMART/1660101260218/STATUS/Config/System/Version/stm32,STATUS,62,1
WXSMART/1660101260218/STATUS/ExtUnit1/ID,STATUS,0,1
WXSMART/1660101260218/STATUS/ExtUnit2/ID,STATUS,0,1
WXSMART/1660101260218/STATUS/Station1/Version/Bootloader,STATUS,6,1
WXSMART/1660101260218/STATUS/Station1/Version/Firmware,STATUS,164,1
WXSMART/1660101260218/STATUS/Tip1/ID,STATUS,3001,1
WXSMART/1660101260218/STATUS/Tip1/SerialNumber,STATUS,"160 , 32 , 15 , 152 , 2 , 0 , 0 , 19",1
WXSMART/1660101260218/STATUS/Tip2/ID,STATUS,2210,1
WXSMART/1660101260218/STATUS/Tip2/SerialNumber,STATUS,"160 , 8 , 52 , 179 , 2 , 0 , 0 , 20",1
WXSMART/1660101260218/STATUS/Tool1/ID,STATUS,23,1
WXSMART/1660101260218/STATUS/Tool1/OperatingHours/Total,STATUS,6,1
WXSMART/1660101260218/STATUS/Tool1/SerialNumber,STATUS,"12866 , 33681 , 12561 , 4912 , 128 , 65535",1
WXSMART/1660101260218/STATUS/Tool1/Version/Firmware,STATUS,39,1
WXSMART/1660101260218/STATUS/Tool2/ID,STATUS,21,1
WXSMART/1660101260218/STATUS/Tool2/OperatingHours/Total,STATUS,6,1
WXSMART/1660101260218/STATUS/Tool2/SerialNumber,STATUS,"12866 , 33681 , 12561 , 4884 , 16 , 65535",1
WXSMART/1660101260218/STATUS/Tool2/Version/Firmware,STATUS,29,1
