16topic,last,count
WXSMART/1660101260218/STATUS/Config/IF0/IPAddress,"192 , 168 , 1 , 128",1
WXSMART/1660101260218/STATUS/Config/System/DeviceName,wxsmart-0218,1
WXSMART/1660101260218/STATUS/Config/System/NetworkIF,0,1
WXSMART/1660101260218/STATUS/Config/System/Version/esp32,10,1
WXSMART/1660101260218/STATUS/Config/System/Version/stm32,62,1
WXSMART/1660101260218/STATUS/ExtUnit1/ID,0,1
WXSMART/1660101260218/STATUS/ExtUnit2/ID,0,1
WXSMART/1660101260218/STATUS/Station1/Version/Bootloader,6,1
WXSMART/1660101260218/STATUS/Station1/Version/Firmware,164,1
WXSMART/1660101260218/STATUS/Tip1/ID,3001,1
WXSMART/1660101260218/STATUS/Tip1/SerialNumber,"160 , 32 , 15 , 152 , 2 , 0 , 0 , 19",1
WXSMART/1660101260218/STATUS/Tip2/ID,2210,1
WXSMART/1660101260218/STATUS/Tip2/SerialNumber,"160 , 8 , 52 , 179 , 2 , 0 , 0 , 20",1
WXSMART/1660101260218/STATUS/Tool1/ID,23,1
WXSMART/1660101260218/STATUS/Tool1/OperatingHours/Total,6,1
WXSMART/1660101260218/STATUS/Tool1/SerialNumber,"12866 , 33681 , 12561 , 4912 , 128 , 65535",1
WXSMART/1660101260218/STATUS/Tool1/Version/Firmware,39,1
WXSMART/1660101260218/STATUS/Tool2/ID,21,1
WXSMART/1660101260218/STATUS/Tool2/OperatingHours/Total,6,1
WXSMART/1660101260218/STATUS/Tool2/SerialNumber,"12866 , 33681 , 12561 , 4884 , 16 , 65535",1
WXSMART/1660101260218/STATUS/Tool2/Version/Firmware,29,1
